Firm,Attorney Name,City,Practice Focus,Phone,Email,Website,Status,Notes
Hoover Hull Turner LLP,VERIFY,Indianapolis,Insurance / commercial litigation,VERIFY,VERIFY,hooverhullturner.com,Not contacted,Mid-size firm - good plaintiff side
Cohen & Malad LLP,VERIFY,Indianapolis,Property damage / class action / consumer,VERIFY,VERIFY,cohenandmalad.com,Not contacted,Likely best fit for plaintiff-side mold
Doehrman Buba Ring,VERIFY,Indianapolis,Personal injury / property,VERIFY,VERIFY,doehrman.com,Not contacted,
Wagner Reese LLP,VERIFY,Carmel,Personal injury / property damage,VERIFY,VERIFY,wagnerreese.com,Not contacted,
Stewart & Stewart Attorneys,VERIFY,Carmel,Personal injury,VERIFY,VERIFY,getstewart.com,Not contacted,
Christopher & Taylor,VERIFY,Indianapolis,Real estate / landlord-tenant,VERIFY,VERIFY,VERIFY,Not contacted,
Indiana Legal Services,VERIFY,Indianapolis,Tenant rights,VERIFY,VERIFY,indianalegalservices.org,Not contacted,Nonprofit - referral source not client
Beasley Gilkison Retherford Buckles Clark,VERIFY,Muncie,General litigation,VERIFY,VERIFY,bgrlawyers.com,Not contacted,Eastern Indiana
Theisen Bowers & Associates,VERIFY,Fort Wayne,Real estate / property,VERIFY,VERIFY,theisenbowers.com,Not contacted,Local Fort Wayne
Beers Mallers LLP,VERIFY,Fort Wayne,Insurance defense AND plaintiff,VERIFY,VERIFY,beersmallers.com,Not contacted,Local Fort Wayne
Carson LLP,VERIFY,Fort Wayne,Civil litigation,VERIFY,VERIFY,carsonllp.com,Not contacted,
Burt Blee Dixon Sutton Bloom LLP,VERIFY,Fort Wayne,General practice,VERIFY,VERIFY,burtblee.com,Not contacted,
Haller & Colvin PC,VERIFY,Fort Wayne,Real estate / litigation,VERIFY,VERIFY,hallercolvin.com,Not contacted,
Ciyou & Dixon PC,VERIFY,Indianapolis,Family/property,VERIFY,VERIFY,ciyoudixonlaw.com,Not contacted,
Schultz & Pogue LLP,VERIFY,Indianapolis,Real estate,VERIFY,VERIFY,schultzpogue.com,Not contacted,
Hostetler Hostetler & Brown LLP,VERIFY,Carmel,Real estate,VERIFY,VERIFY,VERIFY,Not contacted,
Plews Shadley Racher & Braun LLP,VERIFY,Indianapolis,Environmental / property,VERIFY,VERIFY,psrb.com,Not contacted,Environmental focus - very high fit
Bingham Greenebaum Doll,VERIFY,Indianapolis,Insurance / commercial,VERIFY,VERIFY,bgdlegal.com,Not contacted,Now Dentons Bingham Greenebaum
Frost Brown Todd Indianapolis,VERIFY,Indianapolis,Insurance / commercial,VERIFY,VERIFY,frostbrowntodd.com,Not contacted,
Krieg DeVault LLP,VERIFY,Indianapolis,Real estate / construction,VERIFY,VERIFY,kriegdevault.com,Not contacted,
